Technology,Variable,Hour,Value
Wind Power plant 1,G_elec,534,100.0
Wind Power plant 1,G_elec,535,100.0
Wind Power plant 1,G_elec,536,100.0
Wind Power plant 1,G_elec,537,100.0
Wind Power plant 1,G_elec,538,100.0
Wind Power plant 1,G_elec,539,100.0
Wind Power plant 1,G_elec,540,100.0
Wind Power plant 1,G_elec,541,100.0
Wind Power plant 1,G_elec,542,100.0
Wind Power plant 1,G_elec,543,100.0
Wind Power plant 1,G_elec,544,100.0
Wind Power plant 1,G_elec,545,100.0
Wind Power plant 1,G_elec,546,100.0
Wind Power plant 1,G_elec,547,100.0
Wind Power plant 1,G_elec,548,100.0
Wind Power plant 1,G_elec,549,100.0
Wind Power plant 1,G_elec,550,100.0
Wind Power plant 1,G_elec,551,100.0
Wind Power plant 1,G_elec,552,100.0
Wind Power plant 1,G_elec,553,100.0
Wind Power plant 1,G_elec,554,100.0
Wind Power plant 1,G_elec,555,100.0
Wind Power plant 1,G_elec,556,100.0
Wind Power plant 1,G_elec,557,100.0
Wind Power plant 1,G_elec,558,100.0
Wind Power plant 1,G_elec,559,100.0
Wind Power plant 1,G_elec,560,100.0
Wind Power plant 1,G_elec,561,100.0
Wind Power plant 1,G_elec,562,100.0
Wind Power plant 1,G_elec,563,100.0
Wind Power plant 1,G_elec,564,100.0
Wind Power plant 1,G_elec,565,100.0
Wind Power plant 1,G_elec,566,100.0
Wind Power plant 1,G_elec,567,100.0
Wind Power plant 1,G_elec,568,100.0
Wind Power plant 1,G_elec,569,100.0
Wind Power plant 1,G_elec,570,100.0
Wind Power plant 1,G_elec,571,100.0
Wind Power plant 1,G_elec,572,100.0
Wind Power plant 1,G_elec,573,100.0
Wind Power plant 1,G_elec,574,100.0
Wind Power plant 1,G_elec,575,100.0
Wind Power plant 1,G_elec,576,100.0
Wind Power plant 1,G_elec,577,100.0
Wind Power plant 1,G_elec,578,100.0
Wind Power plant 1,G_elec,579,100.0
Wind Power plant 1,G_elec,580,100.0
Wind Power plant 1,G_elec,581,100.0
Wind Power plant 1,G_elec,582,100.0
Wind Power plant 1,G_elec,583,100.0
Wind Power plant 1,G_elec,584,100.0
Wind Power plant 1,G_elec,585,100.0
Wind Power plant 1,G_elec,586,100.0
Wind Power plant 1,G_elec,587,100.0
Wind Power plant 1,G_elec,588,100.0
Wind Power plant 1,G_elec,589,100.0
Wind Power plant 1,G_elec,590,100.0
Wind Power plant 1,G_elec,591,100.0
Wind Power plant 1,G_elec,592,100.0
Wind Power plant 1,G_elec,593,100.0
Wind Power plant 1,G_elec,594,100.0
Wind Power plant 1,G_elec,595,100.0
Wind Power plant 1,G_elec,596,100.0
Wind Power plant 1,G_elec,597,100.0
Wind Power plant 1,G_elec,598,100.0
Wind Power plant 1,G_elec,599,100.0
Wind Power plant 1,G_elec,600,100.0
Wind Power plant 1,G_elec,601,100.0
Wind Power plant 1,G_elec,602,100.0
Wind Power plant 1,G_elec,603,100.0
Wind Power plant 1,G_elec,604,100.0
Wind Power plant 1,G_elec,605,100.0
Wind Power plant 1,G_elec,606,100.0
Wind Power plant 1,G_elec,607,100.0
Wind Power plant 1,G_elec,608,100.0
Wind Power plant 1,G_elec,609,100.0
Wind Power plant 1,G_elec,610,100.0
Wind Power plant 1,G_elec,611,100.0
Wind Power plant 1,G_elec,612,100.0
Wind Power plant 1,G_elec,613,100.0
Wind Power plant 1,G_elec,614,100.0
Wind Power plant 1,G_elec,615,100.0
Wind Power plant 1,G_elec,616,100.0
Wind Power plant 1,G_elec,617,100.0
Wind Power plant 1,G_elec,618,100.0
Wind Power plant 1,G_elec,619,100.0
Wind Power plant 1,G_elec,620,100.0
Wind Power plant 1,G_elec,621,100.0
Wind Power plant 1,G_elec,622,100.0
Wind Power plant 1,G_elec,623,100.0
Wind Power plant 1,G_elec,624,100.0
Wind Power plant 1,G_elec,625,100.0
Wind Power plant 1,G_elec,626,100.0
Wind Power plant 1,G_elec,627,100.0
Wind Power plant 1,G_elec,628,100.0
Wind Power plant 1,G_elec,629,100.0
Wind Power plant 1,G_elec,630,100.0
Wind Power plant 1,G_elec,631,100.0
Wind Power plant 1,G_elec,632,100.0
Wind Power plant 1,G_elec,633,100.0
Wind Power plant 1,G_elec,634,100.0
Wind Power plant 1,G_elec,635,100.0
Wind Power plant 1,G_elec,636,100.0
Wind Power plant 1,G_elec,637,100.0
Wind Power plant 1,G_elec,638,100.0
Wind Power plant 1,G_elec,639,100.0
Wind Power plant 1,G_elec,640,100.0
Wind Power plant 1,G_elec,641,100.0
Wind Power plant 1,G_elec,642,100.0
Wind Power plant 1,G_elec,643,100.0
